"admUnitThreeId","name","area","admUnitTwoId"
100409,"Amtali Upazila ",178103,"1004"
100419,"Bamna Upazila ",24970,"1004"
100428,"Barguna Sadar Upazila ",112282,"1004"
100447,"Betagi Upazila ",41452,"1004"
100485,"Patharghata Upazila ",95719,"1004"
100602,"Agailjhara Upazila ",38418,"1006"
100603,"Babuganj Upazila ",40742,"1006"
100607,"Bakerganj Upazila ",101650,"1006"
100610,"Banari Para Upazila ",33188,"1006"
100632,"Gaurnadi Upazila ",37200,"1006"
100636,"Hizla Upazila ",127349,"1006"
100651,"Barisal Sadar Upazila Tota",80163,"1006"
100662,"Mehendiganj Upazila ",103529,"1006"
100669,"Muladi Upazila ",64458,"1006"
100694,"Wazirpur Upazila ",61373,"1006"
100918,"Bhola Sadar Upazila ",102095,"1009"
100921,"Burhanuddin Upazila ",70341,"1009"
100925,"Char Fasson Upazila ",273375,"1009"
100929,"Daulat Khan Upazila ",78330,"1009"
100954,"Lalmohan Upazila ",97915,"1009"
100965,"Manpura Upazila ",92216,"1009"
100991,"Tazumuddin Upazila ",126745,"1009"
104240,"Jhalokati Sadar Upazila ",39403,"1042"
104243,"Kanthalia Upazila ",37386,"1042"
104273,"Nalchity Upazila ",57187,"1042"
104284,"Rajapur Upazila ",40670,"1042"
107838,"Bauphal Upazila ",120366,"1078"
107852,"Dashmina Upazila ",86951,"1078"
107855,"Dumki Upazila ",22837,"1078"
107857,"Galachipa Upazila ",313421,"1078"
107866,"Kala Para Upazila ",121549,"1078"
107876,"Mirzaganj Upazila ",41312,"1078"
107895,"Patuakhali Sadar Upazila T",89567,"1078"
107914,"Bhandaria Upazila ",40418,"1079"
107947,"Kawkhali Upazila ",19660,"1079"
107958,"Mathbaria Upazila ",85063,"1079"
107976,"Nazirpur Upazila ",56511,"1079"
107980,"Pirojpur Sadar Upazila ",41221,"1079"
107987,"Nesarabad Upazila ",49503,"1079"
107990,"Zianagar Upazila ",23376,"1079"
201202,"Akhaura Upazila ",24228,"2012"
201204,"Banchharampur Upazila ",46285,"2012"
201207,"Bijoynagar Upazila ",54653,"2012"
201213,"Brahmanbaria Sadar Upazila ",58649,"2012"
201233,"Ashuganj Upazila ",16702,"2012"
201263,"Kasba Upazila ",51837,"2012"
201285,"Nabinagar Upazila ",86568,"2012"
201290,"Nasirnagar Upazila ",72738,"2012"
201294,"Sarail Upazila ",53196,"2012"
201322,"Chandpur Sadar Upazila ",76300,"2013"
201345,"Faridganj Upazila ",57385,"2013"
201347,"Haim Char Upazila ",33154,"2013"
201349,"Hajiganj Upazila ",46926,"2013"
201358,"Kachua Upazila ",58271,"2013"
201376,"Matlab Upazila ",31958,"2013"
201379,"Matlab Uttar Upazila ",64319,"2013"
201395,"Shahrasti Upazila ",38255,"2013"
201504,"Anowara Upazila ",40551,"2015"
201506,"Bayejid Bostami Thana ",4344,"2015"
201508,"Banshkhali Upazila ",93135,"2015"
201510,"Bakalia Thana ",2997,"2015"
201512,"Boalkhali Upazila ",31249,"2015"
201518,"Chandanaish  Upazila ",49913,"2015"
201519,"Chandgaon Thana ",6257,"2015"
201520,"Chittagong Port Thana ",4952,"2015"
201528,"Double Mooring Thana ",2006,"2015"
201533,"Fatikchhari Upazila ",191146,"2015"
201535,"Halishahar Thana ",2382,"2015"
201537,"Hathazari Upazila ",60867,"2015"
201541,"Kotwali Thana ",1898,"2015"
201543,"Khulshi Thana ",3242,"2015"
201547,"Lohagara Upazila ",63970,"2015"
201553,"Mirsharai Upazila ",119324,"2015"
201555,"Pahartali Thana ",3289,"2015"
201557,"Panchlaish Thana ",2051,"2015"
201561,"Patiya Upazila ",52350,"2015"
201565,"Patenga Thana ",8069,"2015"
201570,"Rangunia Upazila ",89338,"2015"
201574,"Raozan Upazila ",60936,"2015"
201578,"Sandwip Upazila ",188398,"2015"
201582,"Satkania Upazila ",69431,"2015"
201586,"Sitakunda Upazila ",119591,"2015"
201909,"Barura Upazila ",59724,"2019"
201915,"Brahmanpara Upazila ",31750,"2019"
201918,"Burichang Upazila ",40467,"2019"
201927,"Chandina Upazila ",49673,"2019"
201931,"Chauddagram Upazila ",66841,"2019"
201933,"Comilla Sadar Dakshin Upazila ",51885,"2019"
201936,"Daudkandi Upazila ",77838,"2019"
201940,"Debidwar Upazila ",58972,"2019"
201954,"Homna Upazila ",35284,"2019"
201967,"Comilla Adarsha Sadar Upazila ",35269,"2019"
201972,"Laksam Upazila ",38745,"2019"
201974,"Manoharganj Upazila ",39372,"2019"
201975,"Meghna Upazila ",24606,"2019"
201981,"Muradnagar Upazila ",84197,"2019"
201987,"Nangalkot Upazila ",55835,"2019"
201994,"Titas Upazila ",27010,"2019"
203014,"Chhagalnaiya Upazila ",34495,"2030"
203025,"Daganbhuiyan Upazila ",35017,"2030"
203029,"Feni Sadar Upazila ",55894,"2030"
203041,"Fulgazi Upazila ",25254,"2030"
203051,"Parshuram Upazila ",23663,"2030"
203094,"Sonagazi Upazila ",70400,"2030"
204643,"Dighinala Upazila ",171520,"2046"
204649,"Khagrachhari Sadar Upazila ",73617,"2046"
204649,"Khagrachhari Paurasava",NA,"2046"
204661,"Lakshmichhari Upazila ",54400,"2046"
204665,"Mahalchhari Upazila ",62080,"2046"
204667,"Manikchhari Upazila ",41600,"2046"
204670,"Matiranga Upazila ",122416,"2046"
204670,"Matiranga Paurashava",NA,"2046"
204677,"Panchhari Upazila ",82560,"2046"
204680,"Ramgarh Upazila ",71140,"2046"
204680,"Lakshmipur Paurasava",NA,"2046"
205133,"Kamalnagar Upazila ",77805,"2051"
205143,"Lakshmipur Sadar Upazila ",118699,"2051"
205158,"Roypur Upazila ",48428,"2051"
205165,"Ramganj Upazila ",41838,"2051"
205173,"Ramgati Upazila ",69160,"2051"
207507,"Begumganj Upazila ",58904,"2075"
207510,"Chatkhil Upazila ",33085,"2075"
207521,"Companiganj Upazila ",94135,"2075"
207536,"Hatiya Upazila ",372476,"2075"
207547,"Kabirhat Upazila ",45777,"2075"
207580,"Senbagh Upazila ",39380,"2075"
207583,"Sonaimuri Upazila ",41796,"2075"
207585,"Subarnachar Upazila ",142202,"2075"
207587,"Noakhali Sadar Upazila ",83044,"2075"
208407,"Baghaichhari Upazila ",477222,"2084"
208407,"Baghaichhari Paurashava",NA,"2084"
208421,"Barkal Upazila ",188020,"2084"
208425,"Kawkhali Upazila ",83840,"2084"
208429,"Belai Chhari Upazila ",184320,"2084"
208436,"Kaptai  Upazila ",64000,"2084"
208447,"Jurai Chhari Upazila ",149760,"2084"
208458,"Langadu  Upazila ",96000,"2084"
208475,"Naniarchar  Upazila ",97280,"2084"
208478,"Rajasthali  Upazila ",35840,"2084"
208487,"Rangamati Sadar Upazila ",135040,"2084"
208487,"Rangamati Paurashava",NA,"2084"
200404,"Alikadam Upazila ",218880,"2004"
200414,"Bandarban Sadar Upazila ",124043,"2004"
200414,"Bandarban Paurashava",NA,"2004"
200451,"Lama Upazila ",166015,"2004"
200451,"Lama Paurashava",NA,"2004"
200473,"Naikhongchhari Upazila ",114560,"2004"
200489,"Rowangchhari Upazila ",109440,"2004"
200495,"Thanchi Upazila ",252250,"2004"
202216,"Chakoria Upazila ",124500,"2022"
202216,"Chakaria Paurashava",NA,"2022"
202224,"Cox's Bazar Sadar Upazila ",56397,"2022"
202224,"Cox's Bazar Paurashava",NA,"2022"
202245,"Kutubdia Upazila ",53324,"2022"
202249,"Maheshkhali Upazila ",89498,"2022"
202249,"Maheshkhali Paurashava",NA,"2022"
202256,"Pekua Upazila ",34500,"2022"
202266,"Ramu Upazila ",96794,"2022"
202290,"Teknaf Upazila ",96042,"2022"
202290,"Teknaf Paurashava",NA,"2022"
202294,"Ukhia Upazila ",64694,"2022"
303907,"Bakshiganj Upazila ",58885,"3039"
303915,"Dewanganj Upazila ",66104,"3039"
303929,"Islampur Upazila ",87307,"3039"
303936,"Jamalpur Sadar Upazila ",125729,"3039"
303958,"Madarganj Upazila ",55695,"3039"
303961,"Melandaha Upazila ",63834,"3039"
303985,"Sarishabari Upazila ",65113,"3039"
305440,"Kalkini Upazila ",69279,"3054"
305440,"Kalkini Paurashava",NA,"3054"
305454,"Madaripur Sadar Upazila ",69967,"3054"
305454,"Madaripur Paurashava",NA,"3054"
305480,"Rajoir Upazila ",56656,"3054"
305487,"Shib Char Upazila ",82263,"3054"
305487,"Shib Char Paurashava",NA,"3054"
305610,"Daulatpur Upazila ",53953,"3056"
305622,"Ghior Upazila ",36799,"3056"
305628,"Harirampur Upazila ",60370,"3056"
305646,"Manikganj Sadar Upazila ",53168,"3056"
305646,"Manikganj Paurashava",NA,"3056"
305670,"Saturia Upazila ",34640,"3056"
305678,"Shibalaya Upazila ",49220,"3056"
305682,"Singair Upazila ",53760,"3056"
305682,"Singair Paurashava",NA,"3056"
302602,"Adabor Thana ",NA,"3026"
302604,"Badda Thana ",NA,"3026"
302605,"Bangshal Thana ",NA,"3026"
302606,"Biman Bandar Thana ",NA,"3026"
302608,"Cantonment Thana ",NA,"3026"
302609,"Chak Bazar Thana ",NA,"3026"
302610,"Dakshinkhan Thana ",NA,"3026"
302611,"Darus Salam Thana ",NA,"3026"
