"admUnitFourId","name","area","admUnitThreeId"
10040901,"Ward No-01 ",NA,"100409"
10040902,"Ward No-02 ",NA,"100409"
10040903,"Ward No-03 ",NA,"100409"
10040904,"Ward No-04 ",NA,"100409"
10040905,"Ward No-05 ",NA,"100409"
10040906,"Ward No-06 ",NA,"100409"
10040907,"Ward No-07 ",NA,"100409"
10040908,"Ward No-08 ",NA,"100409"
10040909,"Ward No-09 ",NA,"100409"
10040913,"Amtali Union ",15914,"100409"
10040915,"Arpangashia Union ",8624,"100409"
10040923,"Atharagashia Union ",11269,"100409"
10040939,"Barabagi Union ",13242,"100409"
10040943,"Chhota Bagi Union ",9745,"100409"
10040947,"Chowra Union ",10239,"100409"
10040963,"Gulisakhali Union ",13887,"100409"
10040971,"Haldia Union ",22154,"100409"
10040979,"Karaibaria Union ",10863,"100409"
10040987,"Kukua Union ",11288,"100409"
10040991,"Nishanbaria Union ",11597,"100409"
10040994,"Pancha Koralia Union ",10621,"100409"
10040995,"Sarikkhali Union ",8560,"100409"
10040996,"Sonakata Union ",17864,"100409"
10041923,"Bamna Union ",5856,"100419"
10041947,"Bukabunia Union ",7005,"100419"
10041971,"Dauatala Union ",6284,"100419"
10041995,"Ramna Union ",5815,"100419"
10042801,"Ward No-01 ",NA,"100428"
10042802,"Ward No-02 ",NA,"100428"
10042803,"Ward No-03 ",NA,"100428"
10042804,"Ward No-04 ",NA,"100428"
10042805,"Ward No-05 ",NA,"100428"
10042806,"Ward No-06 ",NA,"100428"
10042807,"Ward No-07 ",NA,"100428"
10042808,"Ward No-08 ",NA,"100428"
10042809,"Ward No-09 ",NA,"100428"
10042817,"Ayla Patakata Union ",7086,"100428"
10042819,"Badarkhali Union ",7616,"100428"
10042828,"Barguna Union ",5594,"100428"
10042838,"Burir Char Union ",8661,"100428"
10042847,"Dhalua Union ",7421,"100428"
10042857,"Phuljhury Union ",5244,"100428"
10042866,"Gaurichanna Union ",6611,"100428"
10042876,"Keorabunia Union ",5855,"100428"
10042885,"M.Baliatali Union ",15495,"100428"
10042895,"Naltona Union ",8435,"100428"
10044701,"Ward No-01 ",NA,"100447"
10044702,"Ward No-02 ",NA,"100447"
10044703,"Ward No-03 ",NA,"100447"
10044704,"Ward No-04 ",NA,"100447"
10044705,"Ward No-05 ",NA,"100447"
10044706,"Ward No-06 ",NA,"100447"
10044707,"Ward No-07 ",NA,"100447"
10044708,"Ward No-08 ",NA,"100447"
10044709,"Ward No-09 ",NA,"100447"
10044711,"Betagi Union ",5638,"100447"
10044723,"Bibichini Union ",6237,"100447"
10044735,"Bura Mazumdar Union ",5963,"100447"
10044747,"Hosnabad Union ",6442,"100447"
10044759,"Kazirabad Union ",4909,"100447"
10044771,"Mokamia Union ",5157,"100447"
10044783,"Sarishamuri Union ",6093,"100447"
10048501,"Ward No-01 ",NA,"100485"
10048502,"Ward No-02 ",NA,"100485"
10048503,"Ward No-03 ",NA,"100485"
10048504,"Ward No-04 ",NA,"100485"
10048505,"Ward No-05 ",NA,"100485"
10048506,"Ward No-06 ",NA,"100485"
10048507,"Ward No-07 ",NA,"100485"
10048508,"Ward No-08 ",NA,"100485"
10048509,"Ward No-09 ",NA,"100485"
10048511,"Char Duanti Union ",8921,"100485"
10048523,"Kakchira Union ",6519,"100485"
10048535,"Kalmegha Union ",12431,"100485"
10048547,"Kanthaltali Union ",5793,"100485"
10048559,"Nachna Para Union ",5551,"100485"
10048571,"Patharghata Union ",12521,"100485"
10048583,"Raihanpur Union ",6114,"100485"
10060213,"Bagdha Union ",8713,"100602"
10060215,"Bakal Union ",7956,"100602"
10060247,"Gaila Union ",6298,"100602"
10060279,"Rajiher Union ",8937,"100602"
10060287,"Ratnapur Union ",6514,"100602"
10060313,"Jahangir Nagar(Agarpur)",7578,"100603"
10060327,"Chandpasha Union ",6984,"100603"
10060340,"Dehergati Union ",6515,"100603"
10060354,"Kedarpur Union ",7117,"100603"
10060367,"Madhab Pasha Union Tot",6777,"100603"
10060381,"Rahmatpur Union ",5771,"100603"
10060701,"Ward No-01 ",NA,"100607"
10060702,"Ward No-02 ",NA,"100607"
10060703,"Ward No-03 ",NA,"100607"
10060704,"Ward No-04 ",NA,"100607"
10060705,"Ward No-05 ",NA,"100607"
10060706,"Ward No-06 ",NA,"100607"
10060707,"Ward No-07 ",NA,"100607"
10060708,"Ward No-08 ",NA,"100607"
10060709,"Ward No-09 ",NA,"100607"
10060712,"Bhar Pasha Union ",6207,"100607"
10060713,"Charadi Union ",6959,"100607"
10060720,"Char Amaddi Union ",6001,"100607"
10060727,"Darial Union ",8882,"100607"
10060733,"Dudhal Union ",7495,"100607"
10060740,"Durga Pasha Union ",5814,"100607"
10060747,"Faridpur Union ",5713,"100607"
10060754,"Garuria Union ",8126,"100607"
10060761,"Kabai Union ",7338,"100607"
10060767,"Kalaskati Union ",6047,"100607"
10060774,"Nalua Union ",3806,"100607"
10060781,"Niamati Union ",7368,"100607"
10060788,"Padri Shibpur Union Tota",7537,"100607"
10060794,"Rangasree Union ",10379,"100607"
10061001,"Ward No-01 ",NA,"100610"
10061002,"Ward No-02 ",NA,"100610"
10061003,"Ward No-03 ",NA,"100610"
10061004,"Ward No-04 ",NA,"100610"
10061005,"Ward No-05 ",NA,"100610"
10061006,"Ward No-06 ",NA,"100610"
