"admUnitFiveId","name","admUnitFourId"
10040901165,"Baitaghata","10040901"
10040901567,"Kalibari Pachim","10040901"
10040901568,"Kalibari Purba","10040901"
10040902400,"Khontakata(Uttar)","10040902"
10040902566,"Kalibari Dakshin","10040902"
10040903400,"Kontakata(Dakshin)","10040903"
10040904233,"Char Para","10040904"
10040904823,"Sadarpara","10040904"
10040905800,"Sabujbagh","10040905"
10040906680,"Purba Amtali","10040906"
10040907250,"Chhurikata","10040907"
10040908150,"Basuki Mouza","10040908"
10040908750,"Naya Banguli","10040908"
10040909350,"Locha","10040909"
10040913024,"Amtali","10040913"
10040913147,"Chalabhanga","10040913"
10040913270,"Chhota Nachna Para","10040913"
10040913712,"Nachna Para","10040913"
10040913724,"Nilganj","10040913"
10040913835,"Pujakhola","10040913"
10040913994,"Uttar Tiakhali","10040913"
10040915036,"Arpangashia","10040915"
10040915442,"Ghopkhali","10040915"
10040915921,"Tarikata","10040915"
10040923049,"Atharagashia","10040923"
10040923159,"Chalitabunia","10040923"
10040923393,"Gazipur","10040923"
10040923417,"Gerabunia","10040923"
10040923884,"Sakharia","10040923"
10040923909,"Sonakhali","10040923"
10040939085,"Barabagi","10040939"
10040943122,"Bethi Para","10040943"
10040943233,"Char Para","10040943"
10040943257,"Chhota Bagi","10040943"
10040943380,"Gabtali","10040943"
10040947165,"Batiaghata","10040947"
10040947196,"Chandra","10040947"
10040947208,"Chowra","10040947"
10040947429,"Ghotkhali","10040947"
10040947810,"Patakata","10040947"
10040963368,"Fakirkhali","10040963"
10040963454,"Gojkhali","10040963"
10040963479,"Gulisakhali","10040963"
10040963552,"Kalagachhia","10040963"
10040963565,"Kalibari","10040963"
10040963626,"Khekuani","10040963"
10040971319,"Dakshin Raogha","10040971"
10040971331,"Dakshin Taktabunia","10040971"
10040971491,"Haldia","10040971"
10040971589,"Kathalia","10040971"
10040971675,"Kulair Char","10040971"
10040971773,"Paschim Chila","10040971"
10040971847,"Purba Chila","10040971"
10040971915,"Sonauta","10040971"
10040971945,"Tepura","10040971"
10040971970,"Uttar Raogha","10040971"
10040971982,"Uttar Taktabunia","10040971"
10040979012,"Alir Bandar","10040979"
10040979110,"Behala","10040979"
