"admUnitFiveId","residence","numberOfPopulation","livingPosition"
10040901165,2,0,2
10040901567,2,0,2
10040901568,2,0,2
10040902400,2,0,2
10040902566,2,0,2
10040903400,2,0,2
10040904233,2,0,2
10040904823,2,0,2
10040905800,2,0,2
10040906680,2,0,2
10040907250,2,0,2
10040908150,2,0,2
10040908750,2,0,2
10040909350,2,0,2
10040913024,3,0,2
10040913147,1,0,2
10040913270,1,0,2
10040913712,1,0,2
10040913724,1,0,2
10040913835,1,0,2
10040913994,1,0,2
10040915036,1,0,2
10040915442,1,0,2
10040915921,1,0,2
10040923049,1,0,2
10040923159,1,0,2
10040923393,1,8,2
10040923417,1,0,2
10040923884,1,0,2
10040923909,1,0,2
10040939085,1,2,2
10040943122,1,0,2
10040943233,1,0,2
10040943257,1,0,2
10040943380,1,0,2
10040947165,1,0,2
10040947196,1,0,2
10040947208,1,0,2
10040947429,1,0,2
10040947810,1,0,2
10040963368,1,0,2
10040963454,1,0,2
10040963479,1,0,2
10040963552,1,65,2
10040963565,1,0,2
10040963626,1,0,2
10040971319,1,0,2
10040971331,1,0,2
10040971491,1,0,2
10040971589,1,0,2
10040971675,1,0,2
10040971773,1,0,2
10040971847,1,0,2
10040971915,1,0,2
10040971945,1,0,2
10040971970,1,0,2
10040971982,1,0,2
10040979012,1,80,2
10040979110,1,0,2
10040979405,1,0,2
10040979515,1,0,2
10040979528,1,24,2
10040979577,1,0,2
10040987221,1,0,2
10040987307,1,0,2
10040987503,1,0,2
10040987601,1,0,2
10040987614,1,0,2
10040987638,1,0,2
10040987663,1,0,2
10040987786,1,0,2
10040987859,1,0,2
10040987872,1,0,2
10040991073,1,0,2
10040991282,1,1,2
10040994098,1,0,2
10040994184,1,0,2
10040994737,1,0,2
10040995540,1,0,2
10040995896,1,0,2
10040996073,1,0,2
10040996933,1,8,2
10041923051,1,0,2
10041923102,1,0,2
10041923204,1,0,2
10041923280,1,0,2
10041923306,1,16,2
10041923433,1,0,2
10041923637,3,0,2
10041923688,1,0,2
10041923816,1,0,2
10041923841,1,0,2
10041923918,1,0,2
10041923943,3,0,2
10041923994,1,0,2
10041947127,1,0,2
10041947153,1,0,2
10041947178,1,0,2
10041947255,1,0,2
10041947331,1,0,2
10041947357,1,0,2
10041947382,1,0,2
10041947586,1,0,2
10041947663,1,0,2
10041947765,1,0,2
10041947790,1,0,2
10041947867,1,0,2
10041947969,1,0,2
10041971229,1,0,2
10041971408,1,0,2
10041971535,1,0,2
10041971561,1,0,2
10041971612,1,0,2
10041971739,1,0,2
10041995025,1,0,2
10041995076,1,0,2
10041995459,1,0,2
10041995484,1,0,2
10041995510,1,0,2
10041995714,1,0,2
10041995892,1,0,2
10042801442,2,0,2
10042801773,2,0,2
10042802900,2,127,2
10042802939,2,0,2
10042803820,2,0,2
10042803930,2,0,2
10042803940,2,227,2
10042803995,2,0,2
10042804633,2,0,2
10042804800,2,0,2
10042805390,2,0,2
10042805835,2,0,2
10042806331,2,0,2
10042807552,2,0,2
10042808280,2,0,2
10042808350,2,0,2
10042809280,2,0,2
10042809328,2,0,2
10042817056,1,5,2
10042817356,1,0,2
10042817488,1,0,2
10042817506,1,0,2
10042817882,1,0,2
10042819075,1,0,2
10042819131,1,0,2
10042819431,1,0,2
10042819638,1,51,2
10042819826,1,0,2
10042819976,1,0,2
10042828112,1,6,2
10042828469,1,0,2
10042828600,1,0,2
10042828901,1,0,2
10042838168,1,0,2
10042838206,1,0,2
10042838244,1,2,2
10042838300,1,0,2
10042838713,1,0,2
10042838938,1,0,2
10042847262,1,0,2
10042847319,1,0,2
10042847337,1,58,2
10042847563,1,0,2
10042847675,1,0,2
10042857225,1,0,2
10042857281,1,0,2
10042857413,1,0,2
10042866037,1,0,2
10042866150,1,0,2
10042866581,1,0,2
10042866844,1,0,2
10042876018,1,0,2
10042876450,1,0,2
10042876544,1,0,2
10042876994,1,0,2
10042885093,1,0,2
10042885657,1,0,2
10042885732,1,14,2
10042885769,1,23,2
10042885807,1,0,2
10042885919,1,0,2
10042885957,1,0,2
10042895375,1,0,2
10042895394,1,0,2
10042895619,1,0,2
10042895694,1,0,2
10042895750,1,0,2
10042895788,1,0,2
10042895963,1,0,2
10044701851,2,0,2
10044702751,2,0,2
10044703134,2,0,2
10044704251,2,0,2
10044705300,2,0,2
10044706720,2,0,2
10044707151,2,0,2
10044708280,2,0,2
10044709700,2,0,2
10044711134,3,0,2
10044711151,3,0,2
10044711303,1,0,2
10044711371,1,0,2
10044711522,1,0,2
10044711573,1,0,2
10044711607,1,0,2
10044711725,1,0,2
10044711742,1,0,2
10044711758,1,0,2
10044711792,1,0,2
10044711893,1,0,2
10044711961,1,0,2
10044723185,1,0,2
10044723438,1,0,2
10044723472,1,0,2
10044723489,1,0,2
10044723860,1,0,2
10044723944,1,0,2
10044735050,1,0,2
10044735084,1,0,2
10044735101,1,0,2
10044735202,1,0,2
10044735404,1,0,2
10044735505,1,0,2
10044735691,1,0,2
10044735927,1,0,2
10044747016,1,0,2
10044747252,1,0,2
10044747269,1,0,2
10044747286,1,0,2
10044747337,1,0,2
10044747387,1,0,2
10044747556,1,0,2
10044747843,1,0,2
10044747876,1,0,2
10044747994,1,0,2
10044759033,1,0,2
10044759067,1,0,2
10044759219,1,0,2
10044759640,1,0,2
10044759708,1,0,2
10044759809,1,0,2
10044771118,1,0,2
10044771236,1,0,2
10044771320,1,0,2
10044771354,1,0,2
10044771539,1,0,2
10044771590,1,0,2
10044771623,1,0,2
10044771657,1,0,2
10044771674,1,0,2
10044771775,1,0,2
10044771826,1,0,2
10044771978,1,0,2
10044783168,1,0,2
10044783421,1,0,2
10044783455,1,0,2
10044783910,1,0,2
