"cityName","hasmunicipality"
"ÅRHUS N",751
"ULFBORG",661
"EJBY",410
"VIBORG",791
"JUELSMINDE",766
"ESBJERG N",561
"SæBY",813
"SILKEBORG",740
"HILLERøD",219
"FåRVANG",740
"RINGE",430
"VIDEBæK",760
"STENLøSE",240
"BINDSLEV",860
"GIVE",630
"BRYRUP",740
"HELSINGE",270
"LEMVIG",665
"ÅRHUS C",751
"ASPERUP",410
"GRåSTEN",540
"SORRING",710
"VEMB",665
"SPJALD",0
"TøRRING",766
"HARNDRUP",410
"HORSENS",615
"HOLBæK",316
"ODENSE S",461
"RøDEKRO",580
"ERSLEV",773
"DRAGøR",155
"HORNBæK",217
"THYHOLM",671
"TAASTRUP",169
"AARUP",420
"SøNDERSø",480
"SKALS",791
"ESBJERG",561
"RøDKæRSBRO",0
"MøRKøV",316
"BæKMARKSBRO",665
"VINDERUP",661
"NæSTVED",370
"GRAM",510
"SMøRUM",240
"ALLINGE",400
"SKIVE",779
"ASKEBY",390
"FREDERICIA",607
"KARISE",320
"TåSTRUP",0
"SKæLSKøR",330
"VEJLE",766
"NøRRE ALSLEV",376
"ØSTER ULSLEV",376
"LÆSØ",825
"LæSø",825
"GREVINGE",306
"BJERRINGBRO",791
"TJELE",791
"FARSØ",820
"FARSø",820
"HAVNDAL",730
"KARUP J",791
"KIRKE HYLLINGE",350
"BØVLINGBJERG",665
"BøVLINGBJERG",665
"SORØ",340
"SORø",340
"NÆSTVED",370
"BOGENSE",480
"LØGSTRUP",791
"LøGSTRUP",791
"THEM",740
"THISTED",787
"HØRVE",306
"HøRVE",306
"ALLINGÅBRO",707
"ALLINGåBRO",707
"TøNDER",550
"TØNDER",550
"MARIBO",376
"NIBE",851
"RINGKØBING",760
"RINGKøBING",760
"ROSKILDE",253
"",NA
"ESBJERG V",561
"AABYBRO",849
"SOMMERSTED",510
"ROSLEV",779
"KARBY",773
"REGSTRUP",316
"ØLSTED",260
"RINGSTED",329
"KNEBEL",706
"MARSTAL",492
"RØDEKRO",580
"STOHOLM JYLL",791
"SYDALS",540
"HALS",851
"FLEMMING",766
"FAKSE",320
"RANDERS",730
"LEJRE",350
"KJELLERUP",740
"HJALLERUP",810
"MIDDELFART",410
"RUDKøBING",482
"RUDKØBING",482
"ODENSE N",461
"STøVRING",840
"STØVRING",840
"BLåVAND",573
"BLÅVAND",573
"STEGE",390
"ØLGOD",573
"SKANDERBORG",746
"ØSTERVRÅ",813
"ØSTERVRå",813
"ØSTER VRå",813
"NYKØBING M",773
"NYKøBING M",773
